类别,公司名称,公司位置,项目名字,关键词,文件路径,下标位置
招标公告,武汉光迅科技股份有限公司,湖北省,武汉光迅科技股份有限公司,激光器 贴片机 有限公司 湖北省,data/bidding/t_model_aa,207
招标公告,武汉铁路局,湖北省,线下招标武汉铁路局油脂类招标公告,油脂 合成 铁路局 湖北省,data/bidding/t_model_aa,209
招标公告,武汉地铁集团有限公司,湖北省,武汉市轨道交通,工程 一切 险 责任险 有限公司 湖北省,data/bidding/t_model_aa,211
招标公告,武汉市东西湖城市建设投资发展有限公司,湖北省,武汉市东西湖区人民法院数字法庭及其配套弱电系统建设项目监理招标资格,数字 法庭 弱电 系统 建设 有限公司 湖北省,data/bidding/t_model_aa,215
招标公告,昆明海口工业园区管委会,云南省,海口中滩街集镇中心冻死苗木更换项目竞争性谈判公告,冻死 苗木 管委会 云南省,data/bidding/t_model_aa,218
招标公告,怀远县司法局,安徽省,怀远县司法局采购桌面文具,桌面 文具 个 筒 司法局 安徽省,data/bidding/t_model_aa,221
招标公告,固镇县交通运输局,安徽省,固镇县交通运输局采购纸类,复印纸 金鸟 局 安徽省,data/bidding/t_model_aa,222
招标公告,高州市第二人民医院,广东省,高州市第二人民医院整体搬迁及养老服务中心建设项目,中心 建设 EPC 工程 监理 医院 广东省,data/bidding/t_model_aa,223
招标公告,化州市城市综合管理局,广东省,化州市旧茂化路市政改造工程勘察设计招标公告,化路 勘察 设计 管理局 广东省,data/bidding/t_model_aa,224
中标公告,对山东大学,全国,计算机科学与技术学院高解析度平板电视采购结果公示,平板电视 采购 实验室 全国,data/bidding/t_model_aa,227
中标公告,对山东大学,全国,计算机科学与技术学院液晶电视采购结果公示,电视 采购 液晶电视 全国,data/bidding/t_model_aa,228
中标公告,对山东大学,全国,文学与新闻传播学院便携式计算机采购结果公示,便携式 计算机 实验室 全国,data/bidding/t_model_aa,229
中标公告,北京住总第三开发建设有限公司,全国,状元城住宅小区,工程 报建 人参 有限公司 全国,data/bidding/t_model_aa,231
中标公告,国诚集团有限公司,全国,现代产业区峰山路彩云东街,道路 排水工程 工程 报建 总公司 全国,data/bidding/t_model_aa,236
中标公告,安康市京康建筑劳务有限公司,全国,北京新机场安置房项目榆垡组团,装修 工程 地块 工程 有限公司 全国,data/bidding/t_model_aa,240
中标公告,天津市米亿通电子科技有限公司,天津市,打印设备合同公告,打印 设备 幼儿园 天津市,data/bidding/t_model_aa,242
中标公告,中国平安财产保险股份有限公司,天津市,机动车保险合同公告,动车 保险 幼儿园 天津市,data/bidding/t_model_aa,244
中标公告,天津中信泰富科技发展有限公司,天津市,台式一体机合同公告,台式 一体机 机关 天津市,data/bidding/t_model_aa,246
中标公告,天津市和平办公设备总公司,天津市,多功能一体机合同公告,多功能 一体机 机关 天津市,data/bidding/t_model_aa,254
招标公告,泰达国际心血管病医院机关,天津市,泰达国际心血管病医院机关泰达国际心血管病医院气体系统改造设备购置及安装项目,设备 购置 系统 改造 机关 天津市,data/bidding/t_model_aa,255
招标公告,天津市武清区上马台镇人民政府机关,天津市,天津市武清区上马台镇人民政府机关武清区上马台镇,土地 开发 整理 公共设施 施工 机关 天津市,data/bidding/t_model_aa,256
中标公告,天津天琪博信科技有限公司,天津市,防爆冰箱等设备,防爆 冰箱 大学 天津市,data/bidding/t_model_aa,258
中标公告,格泽尔机电设备贸易天津有限公司,天津市,食品核磁共振成像分析仪等设备项目,食品 核磁共振 成像 大学 天津市,data/bidding/t_model_aa,260
招标公告,天津市和平区新闻中心机关,天津市,天津市和平区新闻中心机关天津市和平区新闻中心物业管理服务项目,物业管理 服务 机关 天津市,data/bidding/t_model_aa,261
招标公告,天津市武清区崔黄口镇人民政府机关,天津市,天津市武清区崔黄口镇人民政府机关崔黄口镇南三村社区服务中心工程,电源 设备 机关 天津市,data/bidding/t_model_aa,262
中标公告,天津市青龙建筑安装工程有限公司,天津市,天津市职业大学天津市职业大学部分学生公寓楼室内环境提升项目卫生间走廊吊顶,学生公寓 室内环境 大学 天津市,data/bidding/t_model_aa,263
招标公告,濮阳市油田教育中心,河南省,濮阳市油田第十中学初中部教学楼及第十五小学教学综合楼校安工程项目招标公告,教学楼 油田 中心 河南省,data/bidding/t_model_aa,265
中标公告,广西诚兴建筑工程有限公司,全国,源头农场果园道路工程项目,道路 工程 农场 全国,data/bidding/t_model_aa,266
中标公告,柳州市源晨农副产品有限公司,全国,医院职工食堂食品原料采购及配送,配送 食堂 食品 全国,data/bidding/t_model_aa,267
