类别,公司名称,公司位置,项目名字,关键词,文件路径,下标位置
招标公告,吉林油田公司,吉林省,吉林油田天然气井地面计量技术服务招标公告,天然气井 技术 服务 公司 吉林省,data/bidding/t_model_aa,3227
招标公告,中国石油天然气股份有限公司抚顺石化分公司,辽宁省,抚顺石化公司各厂低压闸截止阀门采购项目招标公告,低压 闸 分公司 辽宁省,data/bidding/t_model_aa,3228
招标公告,西南管道昆明输油气分公司,云南省,中缅天然气管道云南东段交流干扰治理项目二次招标公告,天然气 管道 回填 分公司 云南省,data/bidding/t_model_aa,3229
中标公告,浙江省邮电工程建设有限公司,北京市,九江新亿招标咨询有限公司关于江西省九江县教育局新区小学校园智能化建设系统设计招标项目,系统 设计 智能化 教育局 北京市,data/bidding/t_model_aa,3236
招标公告,中国南方电网有限责任公司,全国,中国南方电网有限责任公司教育培训评价中心,辅助 系统 设计 公司 全国,data/bidding/t_model_aa,3238
招标公告,惠州供电局,广东省,惠州供电局本部职工食堂管理及食材采购业务外委项目招标公告,职工食堂 管理 供电局 广东省,data/bidding/t_model_aa,3243
中标公告,浙江寰晟环境工程有限公司,浙江省,诸暨市五泄江流域三环线桥至毛阳桥段综合治理工程施工,综合治理 工程 防洪 人民政府 浙江省,data/bidding/t_model_aa,3246
中标公告,广西玉林市志成建筑工程有限公司,广西壮族自治区,玉林市福绵区第一实验幼儿园教学综合楼工程中标公告,教学 综合楼 PVC 教育局 广西壮族自治区,data/bidding/t_model_aa,3247
中标公告,北京中机瑞通机电设备有限公司,全国,陡河电厂锅炉轴承询价结果公告,电厂 锅炉 轴承 有限公司 全国,data/bidding/t_model_aa,3279
中标公告,天津市天耐迎泉泵业销售有限公司,全国,耐腐泵机械密封王忠诚询价结果公告,机械 密封 有限公司 全国,data/bidding/t_model_aa,3283
中标公告,南宁灵聚贸易有限责任公司,全国,年大化厂办公家具等采购询价结果公告,办公 家具 采购 有限公司 全国,data/bidding/t_model_aa,3285
中标公告,贵州华纬测绘服务有限公司,全国,大唐贵州发耳发电有限公司耕作层剥离利用方案询价结果公告,耕作层 剥离 有限公司 全国,data/bidding/t_model_aa,3287
中标公告,西安润泽石油化工有限责任公司,全国,大唐灞桥热电厂润滑油询价结果公告,热电厂 润滑油 有限公司 全国,data/bidding/t_model_aa,3296
中标公告,陕西威森电力工程设备有限公司,全国,大唐灞桥热电厂变频器询价结果公告,热电厂 变频器 有限公司 全国,data/bidding/t_model_aa,3299
中标公告,北京望和源商贸有限公司,全国,北京高井热电厂铁平垫询价结果公告,热电厂 平垫 有限公司 全国,data/bidding/t_model_aa,3304
中标公告,苏州诺韦电力技术有限公司,全国,单级离心泵询价结果公告,单级 离心泵 有限公司 全国,data/bidding/t_model_aa,3306
招标公告,广西师范学院,广西壮族自治区,广西师范学院五合校区二期配电网工程,配电网 工程 控制 价 师范学院 广西壮族自治区,data/bidding/t_model_aa,3352
招标公告,昆明国家高新技术产业开发区国有资产经营有限公司,云南省,昆明高新区新城产业基地第二幼儿园弱电工程施工招标公告,产业基地 总 投资 有限公司 云南省,data/bidding/t_model_aa,3353
招标公告,庐江县汤池镇人民政府,安徽省,庐江县汤池镇部分工程造价项目公告,造价 咨询 含暂 人民政府 安徽省,data/bidding/t_model_aa,3354
招标公告,昆明国家高新技术产业开发区国有资产经营有限公司,云南省,马金铺至呈贡信息产业园县乡村道路提升改造工程监理服务,工程 监理 服务 道路 提升 改造 有限公司 云南省,data/bidding/t_model_aa,3359
招标公告,成都市蓉城管线投资有限公司,四川省,成都市管线下地整治工程黑化项目第八批,通信工程 监理 市政 公用 工程 有限公司 四川省,data/bidding/t_model_aa,3361
招标公告,南京市浦口区保障房建设发展有限公司,江苏省,浦口分中心顶山街道大新村,聚氨酯 复合板 有限公司 江苏省,data/bidding/t_model_aa,3363
中标公告,宜春市庭宝贸易有限公司,北京市,麻江县人民医院医疗设备采购项目中标成交公告,医疗 设备 采购 医院 北京市,data/bidding/t_model_aa,3364
中标公告,广西智达工程咨询有限公司,广西壮族自治区,广西云龙招标有限公司柳城县凤山洞诺桥骆家桥等桥梁设计工作服务采购,桥梁 设计 工作服 局 广西壮族自治区,data/bidding/t_model_aa,3365
中标公告,厦门国贸集团股份有限公司,北京市,福建省立医院监护仪脑电放大器测量系统等医疗设备采购中标公告,监护仪 放大器 测量 系统 省立医院 北京市,data/bidding/t_model_aa,3367
中标公告,广州华炜实业有限公司,北京市,阳江市阳东区人民医院医疗设备招标采购项目中标公告招标编号,医疗 设备 医院 北京市,data/bidding/t_model_aa,3368
中标公告,北京裕被隆医疗科技有限公司,北京市,北京市大兴区卫生和计划生育委员会,设备 购置 委员会 北京市,data/bidding/t_model_aa,3369
中标公告,江西群康医疗器械有限公司,北京市,广西云龙招标有限公司医疗设备采购,医疗 设备 医院 北京市,data/bidding/t_model_aa,3370
中标公告,吉林市佳信商贸有限公司,北京市,舒兰市法特镇中心卫生院所需医疗设备采购项目中标公告,中心 卫生院 医疗 设备 卫生院 北京市,data/bidding/t_model_aa,3371
中标公告,北京金御诚物业管理有限责任公司,北京市,水利部综合事业局物业管理服务采购中标公告,物业管理 服务 局 北京市,data/bidding/t_model_aa,3372
中标公告,上海沙田物业管理有限公司,北京市,年甘泉路街道社区文化中心物业管理服务的中标公告,物业管理 服务 办事处 北京市,data/bidding/t_model_aa,3373
中标公告,湖南华天物业管理有限责任公司,湖南省,长沙银行股份有限公司物业管理服务项目单一来源成交公告,物业管理 服务 有限公司 湖南省,data/bidding/t_model_aa,3374
中标公告,甘肃利华水电工程有限责任公司,北京市,张掖市寺大隆林场防护堤坝维修采购中标公告,防护堤 维修 林场 北京市,data/bidding/t_model_aa,3375
中标公告,河南吉恩家具有限公司,北京市,中牟县房地产交易中心项目办公用品购置结果公告,房地产 办公用品 管理局 北京市,data/bidding/t_model_aa,3378
中标公告,浙江浙科仪器设备有限公司,北京市,浙江省成套招标代理有限公司关于电感耦合等离子体质谱仪采购项目的中标结果公示,CT 电感 研究所 北京市,data/bidding/t_model_aa,3379
中标公告,福建省劲牛重工发展有限公司,北京市,福建立勤招标代理有限公司泉州分公司关于安溪县湖上乡人民政府安溪县湖上乡垃圾转运设备及安装服务采购项目的结果公告,安装 服务 垃圾 人民政府 北京市,data/bidding/t_model_aa,3381
中标公告,国信招标集团股份有限公司,北京市,高安中瑞招标有限公司关于江西省宜春市靖安县北潦河流域生态保护及综合治理工程,综合治理 工程 生态 保护 委员会 北京市,data/bidding/t_model_aa,3382
中标公告,广州普勒仕交通科技有限公司,广东省,江门市公路局新建桥梁视频检测系统项目中标结果公告,检测 系统 桥梁 视频 公路局 广东省,data/bidding/t_model_aa,3384
中标公告,吉林市城园设计院有限责任公司,吉林省,年松花江城区段沿江两岸慢行系统工程设计招标二标段中标候选人公示,工程设计 松花 有限公司 吉林省,data/bidding/t_model_aa,3387
招标公告,镇原县种子管理站,甘肃省,镇原县种子管理站马铃薯脱毒种薯原种采购中标公告,马铃薯 种薯 原种 管理站 甘肃省,data/bidding/t_model_aa,3389
中标公告,应要求银行,甘肃省,白银市第九中学大门厕所及地下通道室外零星配套工程项目竞争性谈判公告,厕所 大门 中学 甘肃省,data/bidding/t_model_aa,3390
中标公告,兰州陇威办公家具有限公司,甘肃省,临泽县第四中学学术报告厅升级改造政府采购项目包三中标公告,升级 改造 中学 甘肃省,data/bidding/t_model_aa,3391
中标公告,进账单和收据到张掖市公共资源交易中心,甘肃省,民乐县林业局民乐县,道路 绿化 工程 土方 林业局 甘肃省,data/bidding/t_model_aa,3392
招标公告,舟曲县东山乡人民政府,甘肃省,舟曲县东山乡人民政府舟曲县东山乡下庄村太阳能路灯采购项目中标公告,太阳能 路灯 人民政府 甘肃省,data/bidding/t_model_aa,3393
中标公告,不少于5个工作日到广东省机电设备招标有限公司,广东省,广东食品药品职业学院采购管理信息系统建设项目编号,管理信息系统 建设 学院 广东省,data/bidding/t_model_aa,3394
招标公告,东营市档案局,山东省,东营市档案馆建设项目装饰施工第二次,档案馆 建设 档案局 山东省,data/bidding/t_model_aa,3396
招标公告,普定工业投资开发有限责任公司,贵州省,普定县工业园区西四路道路工程建设项目监理招标公告,建设 监理 道路 工程 公司 贵州省,data/bidding/t_model_aa,3397
招标公告,紫云自治县人民医院,贵州省,紫云自治县人民医院二期建设工程项目设计招标公告,医院 建设工程 设计 医院 贵州省,data/bidding/t_model_aa,3399
中标公告,云南正邦招标有限公司,云南省,石屏县异龙湖航道整治建设项目环境影响评价单位采购项目废标公示,环境影响 航道 整治 建设 局 云南省,data/bidding/t_model_aa,3401
中标公告,云南锦顺裕科技有限公司,云南省,红河县妇幼保健计划生育服务中心微量元素分析仪采购成交公示,微量元素 分析仪 元素 分析仪 服务中心 云南省,data/bidding/t_model_aa,3404
中标公告,新疆忠泰工程有限责任公司,全国,吐鲁番市高昌区市政道路及地下管网项目,道路 新建 工程 市政道路 有限公司 全国,data/bidding/t_model_aa,3406
招标公告,阿瓦提县城市保障性住房投资建设管理有限公司,全国,阿瓦提县回迁房建设项目施工标段,回迁房 建设 有限公司 全国,data/bidding/t_model_aa,3416
招标公告,新疆天池市场开发有限公司,全国,阜康市水磨沟乡甘河子镇改善农村人居环境建设项目,环境 建设 基础设施 有限公司 全国,data/bidding/t_model_aa,3421
中标公告,云南正昌建设工程有限公司,云南省,支那乡中心小学运动场地建设成交结果公告,运动场 地 人民政府 云南省,data/bidding/t_model_aa,3423
中标公告,昆明瀚森科技有限公司,云南省,昆明市东川区第二小学义务教育均衡发展设备采购项目结果公示,均衡 发展 设备 采购 小学 云南省,data/bidding/t_model_aa,3427
中标公告,云南省城乡建设投资有限公司,云南省,南涧彝族自治县职工服务中心建设项目融资及建设管理成交结果公告,工服 中心 建设 云南省,data/bidding/t_model_aa,3430
中标公告,共青城市和鑫源科贸有限公司,云南省,弥渡县德苴乡卫生院血液分析仪设备采购项目成交公示,卫生院 血液 分析仪 卫生院 云南省,data/bidding/t_model_aa,3432
中标公告,云南正邦招标有限公司,云南省,石屏县迭亩龙村委会通畅工程采购施工监理单位流标公示,通畅 工程 指挥部 云南省,data/bidding/t_model_aa,3437
招标公告,肇庆市博物馆,广东省,肇庆古城墙西仁里段抢险加固工程项目,加固 工程施工 抢险 博物馆 广东省,data/bidding/t_model_aa,3438
中标公告,于采购项目公告规定的报名时间内在“广东省政府采购中心,广东省,广东外语外贸大学视频安防监控系统更新升级及相关服务采购项目公开招标公告,安防 监控 系统 视频 广东外语外贸大学 广东省,data/bidding/t_model_aa,3441
中标公告,志诚动力科技杭州有限公司,全国,中国移动广西公司,柴油 发电机组 降噪 有限公司 全国,data/bidding/t_model_aa,3442
中标公告,广东省电信规划设计院有限公司,全国,年东莞核心网和传输项目设计服务年度框架采购中标候选人公示,设计 服务 分公司 全国,data/bidding/t_model_aa,3452
中标公告,北京浩瀚深度信息技术股份有限公司,全国,年中国电信上海公司,数据 信息 采集 分公司 全国,data/bidding/t_model_aa,3453
中标公告,今后凡参加青藏铁路公司,全国,线下招标青藏公司西宁机务段天车滑线整治及综合楼设施补强招标公告,综合楼 设施 中修 全国,data/bidding/t_model_aa,3457
中标公告,南宁灵聚贸易有限责任公司,全国,年大化厂宾馆用品一批采购询价结果公告,宾馆 用品 有限公司 全国,data/bidding/t_model_aa,3460
中标公告,沈阳永杰电力科技有限公司,全国,给煤机油封二期李学强询价结果公告,给煤机 油封 有限公司 全国,data/bidding/t_model_aa,3461
中标公告,山东中瑞电气有限公司,全国,大唐黄岛发电有限责任公司,监控 系统 有限公司 全国,data/bidding/t_model_aa,3465
中标公告,济南艾索电力科技有限公司,全国,大唐黄岛发电有限责任公司凝汽器真空系统及凝汽器换热管查漏询价结果公告,换 热管 有限公司 全国,data/bidding/t_model_aa,3466
中标公告,北京东方光华科技有限公司,全国,龙滩水力发电厂,机组 检修 水力发电 有限公司 全国,data/bidding/t_model_aa,3467
中标公告,中国建筑西北设计研究院有限公司,吉林省,吉林市玄天岭公园建设项目工程设计中标候选人公示,公园 建设工程 设计 有限公司 吉林省,data/bidding/t_model_aa,3474
中标公告,安徽省城市综合设计研究院有限公司,安徽省,亳州市景区提升项目亮化工程设计项目中标公示,亮化 工程设计 公司 安徽省,data/bidding/t_model_aa,3476
招标公告,交通银行股份有限公司,北京市,交通银行股份有限公司向万得信息技术股份有限公司续购金融信息终端及衍生产品,续购 金融信息 有限公司 北京市,data/bidding/t_model_aa,3478
招标公告,交通银行股份有限公司,北京市,交通银行股份有限公司向万得信息技术股份有限公司续购金融信息终端及衍生产品,续购 衍生 有限公司 北京市,data/bidding/t_model_aa,3480
中标公告,重庆公用事业建设有限公司,重庆市,重庆鸡冠石污水处理厂除臭改造工程设计勘察施工设备采购一体化,污水 处理厂 除臭 EPC 有限公司 重庆市,data/bidding/t_model_aa,3481
中标公告,山西上林园林景观设计工程有限公司,山西省,太原市百万亩森林围城建设,造林 工程设计 林业局 山西省,data/bidding/t_model_aa,3483
招标公告,安徽医科大学附属巢湖医院,安徽省,安徽医科大学附属巢湖医院卫生洁具采购及相关服务,卫生洁具 综合楼 建设 医院 安徽省,data/bidding/t_model_aa,3486
中标公告,甘肃省水利水电勘测设计研究院,甘肃省,古浪县生态移民暨扶贫开发黄花滩项目总干二支渠管工程设计二次,态暨 开发 设计 甘肃省,data/bidding/t_model_aa,3488
中标公告,西北综合勘察设计研究院,陕西省,宝塔区黄蒿洼麻塔棚户区改造项目土方平整和基础设施配套建设工程设计一个标段中标候选人公示,土方 平整 棚户区 改造 办公室 陕西省,data/bidding/t_model_aa,3491
中标公告,甘肃省義萌建筑公司,甘肃省,甘谷县农业局农村土地确权管理信息系统县级机房改造装修项目中标公告,机房 改造 装修 管理信息系统 甘肃省,data/bidding/t_model_aa,3492
招标公告,江城县教育局,云南省,江城县康平镇中心幼儿园综合用房建设项目招标公告,综合 用房 建设 建设 资金 教育局 云南省,data/bidding/t_model_aa,3496
中标公告,南宁市桂润环境工程有限公司,北京市,上海正弘建设工程顾问有限公司关于合浦县党江镇污水处理项目,货物 类 污水处理 设备 人民政府 北京市,data/bidding/t_model_aa,3497
招标公告,昆明空港置业有限公司,云南省,昆明空港经济区空港现代广场建设项目临时用电设计施工一体化招标,施工图 设计 有限公司 云南省,data/bidding/t_model_aa,3499
中标公告,山东清泉环保科技有限公司,北京市,烟台市牟平区城市管理局牟平污水处理厂污泥处理服务单位采购成交公告,污泥 处理 服务 管理局 北京市,data/bidding/t_model_aa,3500
中标公告,河南中兆建筑工程有限公司,北京市,汝州市寄料镇人民政府关于汝州市寄料镇污水管网工程中标公示,污水 管网 工程 人民政府 北京市,data/bidding/t_model_aa,3502
招标公告,贵阳市卫生学校,贵州省,贵阳市卫生学校新校区建设项目监理招标公告,建设 监理 卫生学校 贵州省,data/bidding/t_model_aa,3503
中标公告,芜湖慧智机电成套设备有限公司,安徽省,市二院电梯维保服务项目二包三次招标预中标公示,电梯 维保 服务 安徽省,data/bidding/t_model_aa,3504
招标公告,贵州双龙航空港置业有限公司,贵州省,双龙小碧二期新城安置点项目监理招标,双龙 航空港 有限公司 贵州省,data/bidding/t_model_aa,3505
中标公告,杭州奥立达电梯有限公司,安徽省,健康制造产业发展集聚基地双创园电梯采购及安装项目中标公示,产业 发展 有限公司 安徽省,data/bidding/t_model_aa,3506
中标公告,广西联怡科技有限责任公司,全国,服务器硬盘备件采购,服务器 硬盘 备件 检验所 全国,data/bidding/t_model_aa,3507
招标公告,德州市城市管理行政执法局,山东省,于官屯大桥维修改造工程项目设计公开招标公告,大桥 维修 改造 工程 执法局 山东省,data/bidding/t_model_aa,3509
招标公告,昆明自来水集团有限公司,云南省,滇池旅游度假区供水服务站选择招标代理机构公告,供水 服务站 招标 代理服务 有限公司 云南省,data/bidding/t_model_aa,3510
中标公告,红河县宏安建筑工程有限公司,云南省,红河县架车乡扎垤村委会机扎村易地扶贫搬迁工程项目中标公示,搬迁 工程 易地 扶贫 云南省,data/bidding/t_model_aa,3512
中标公告,大理长江输变电工程有限公司,云南省,大理市第二人民医院高低压配电室增容改造项目,配电室 增容 改造 高低压 医院 云南省,data/bidding/t_model_aa,3513
招标公告,盈江城乡开发有限公司,云南省,盈江县新城乡红山村拉掰易地扶贫搬迁工程一期,搬迁 工程 易地 扶贫 有限公司 云南省,data/bidding/t_model_aa,3514
招标公告,昆明呈贡新区教育发展投资有限公司,云南省,呈贡区第一中学改扩建建设项目电梯采购及安装工程招标公告,安装 工程 中学 改扩建 建设 有限公司 云南省,data/bidding/t_model_aa,3515
招标公告,砚山县者腊乡人民政府,云南省,砚山县者腊乡批洒村传统村落保护工程,村落 批洒 人民政府 云南省,data/bidding/t_model_aa,3518
招标公告,中国移动通信集团云南有限公司文山分公司,云南省,中国移动通信集团云南有限公司文山分公司生产调度楼及第二节点机房建设项目,机房 建设 人防 设计 分公司 云南省,data/bidding/t_model_aa,3519
中标公告,红河县宏安建筑工程有限公司,云南省,红河县架车乡妥阿村委会妥普村易地扶贫搬迁工程项目中标公示,搬迁 工程 易地 扶贫 云南省,data/bidding/t_model_aa,3520
中标公告,山东银湾物业集团有限公司,北京市,菏泽高新区万福街道办事处城乡环卫一体化保洁服务项目成交公示,环卫 一体化 保洁 服务 办事处 北京市,data/bidding/t_model_aa,3521
中标公告,云南陈玉建筑工程有限公司,云南省,陆良县芳华镇双合村双合组活动场所建设项目,文化 活动室 球场 云南省,data/bidding/t_model_aa,3522
中标公告,云南云黎建筑工程有限公司,云南省,保山市公安边防支队机动一二中队新建综合楼,综合楼 施工 监理 边防支队 云南省,data/bidding/t_model_aa,3525
中标公告,大连台连照明器材有限公司,辽宁省,大连市路灯管理处路灯维护灯具采购项目中标公告,路灯 维护 管理处 辽宁省,data/bidding/t_model_aa,3526
招标公告,永胜县教育局,云南省,永胜县六德乡中心幼儿园综合楼建设项目,综合楼 建设 施工图 教育局 云南省,data/bidding/t_model_aa,3527
中标公告,浙江亚龙教育装备股份有限公司,北京市,烟台汽车工程职业学院数控维修大赛机床采购成交公告,数控 维修 教育 装备 学院 北京市,data/bidding/t_model_aa,3528
中标公告,云县爱华建筑工程有限责任公司,云南省,云县茂兰镇哨街九年一贯制学校教师周转房建设项目中标公示,施工 监理 九年 一贯制 教育局 云南省,data/bidding/t_model_aa,3529
中标公告,上海禹兴医疗器材有限公司,北京市,上海市嘉定区外冈镇社区卫生服务中心便携式彩超仪的中标公告,便携式 彩超 服务中心 北京市,data/bidding/t_model_aa,3530
中标公告,并注明公司,广东省,广州质检院轻工包装产品检验提升设备购置项目招标编号,提升 设备 包装 产品 研究院 广东省,data/bidding/t_model_aa,3531
中标公告,河南正禄商贸有限公司,北京市,安阳县财政局农业财务股所需农业机械设备项目中标结果公告,农业 财务 农业 机械设备 财政局 北京市,data/bidding/t_model_aa,3532
中标公告,云南省铁路总公司,云南省,东盟多式联运仓储物流园区公铁联运物流中心铁路专用线项目施工三次招标,多式 联运 仓储 有限公司 云南省,data/bidding/t_model_aa,3533
中标公告,贵州商储胜记仓物流有限公司,全国,仓储物流配送服务项目中标成交公告,物流配送 服务 仓储 发行中心 全国,data/bidding/t_model_aa,3534
中标公告,安徽润千城建筑装饰工程有限公司,安徽省,安徽三建中国科学技术大学物质科学教研楼项目外墙保温工程,外墙 保温 保温 工程 安徽省,data/bidding/t_model_aa,3535
中标公告,山东福源设备安装有限公司,山东省,临朐县九山镇北牛寨村户厕改造及生活污水一体化处理项目成交公告,生活 污水 改造 人民政府 山东省,data/bidding/t_model_aa,3536
中标公告,然后到银行,广东省,佛山市南海区大沥镇东区社会管理处大沥镇东区社会管理处购买保安服务招标公告,社会 管理 保安 服务 管理处 广东省,data/bidding/t_model_aa,3539
中标公告,山东中惠仪器有限公司,全国,大唐苏州热电有限责任公司,化学 配件 粘度 仪 公司 全国,data/bidding/t_model_aa,3545
中标公告,南昌市水利规划设计院乙级,江西省,南昌市昌北防洪排涝工程管理处卫东电排站扩建工程勘察设计项目中标公示信息,电排 站 扩建工程 勘察 设计 江西省,data/bidding/t_model_aa,3550
招标公告,广西师范学院,广西壮族自治区,广西师范学院五合校区二期配电网工程,配电网 工程 师范学院 广西壮族自治区,data/bidding/t_model_aa,3554
中标公告,济南迈道环境艺术设计有限公司,山东省,济南市城市水文自动监测设施建设及部分监测站点修缮项目招标中标结果通知书,自动 监测 设施 修缮 水文局 山东省,data/bidding/t_model_aa,3560
中标公告,青岛豪顺汽车自动变速箱服务有限公司,山东省,艾利逊变速箱检修,自动 变速箱 拖车 山东省,data/bidding/t_model_aa,3562
招标公告,固镇县湖沟镇瓦疃中心学校,安徽省,固镇县湖沟镇瓦疃中心学校采购复印机,数码 复合机 复印机 学校 安徽省,data/bidding/t_model_aa,3592
招标公告,怀远县常坟镇学区管理委员会,安徽省,怀远县常坟镇学区管理委员会采购台式计算机,台式机 电脑 显示器 委员会 安徽省,data/bidding/t_model_aa,3593
招标公告,蚌埠市禹会区马城镇人民政府,安徽省,蚌埠市禹会区马城镇人民政府采购激光打印机等,联想 台式 电脑 激光打印机 人民政府 安徽省,data/bidding/t_model_aa,3594
招标公告,兰州市城关区学校卫生保健站,甘肃省,兰州市城关区学校卫生保健站城关区,食品 供餐 服务 站 甘肃省,data/bidding/t_model_aa,3595
中标公告,三明市星辰科技有限责任公司,福建省,三明市梅列区徐碧街道社区卫生服务中心触控一体机的电子反拍中标公告,触控 一体机 办公设备 福建省,data/bidding/t_model_aa,3597
中标公告,福建博海工程技术有限公司,福建省,莆田市木兰大道一期工程安置区建设工程西许后枫坪坂桩基检测项目中标公示,建设工程 大道 工程 有限公司 福建省,data/bidding/t_model_aa,3598
中标公告,为广东庆达咨询有限公司,广东省,揭阳潮汕机场跑道延长及站坪扩建配套项目社会稳定风险评估服务代招标文件,风险 评估 服务 风险 分析 广东省,data/bidding/t_model_aa,3599
招标公告,嘉兴市秀洲区王店镇新农村建设办公室,浙江省,王店镇假山村美丽乡村示范村工程,假山 园林 办公室 浙江省,data/bidding/t_model_aa,3609
中标公告,昆明晶玛商贸有限公司,全国,中铁八局集团昆明铁路建设有限公司东格项目自购物资集中采购成交公示,自购 物资 集团 全国,data/bidding/t_model_aa,3612
中标公告,广州市钊丰钢材有限公司,全国,中铁二局工程有限公司城通分公司广州,钢板 桩 有限公司 全国,data/bidding/t_model_aa,3615
中标公告,唐山百源泵阀机电设备有限公司,全国,除铁器减速机齿轮和链条王洋,除铁器 减速机 齿轮 公司 全国,data/bidding/t_model_aa,3616
中标公告,河北华虹工程材料有限公司,全国,中铁二局工程有限公司城通分公司盾构隧道防水材料集中招标采购结果公示,隧道 防水材料 有限公司 全国,data/bidding/t_model_aa,3617
中标公告,银川亚美恒业商贸有限公司,全国,大坝电厂脱硫专业洒水车采购见附件询价结果公告,洒水车 脱硫 公司 全国,data/bidding/t_model_aa,3620
中标公告,长沙市旺邦机电设备有限公司,全国,大唐华银西晃山风电场,生产 物资 有限公司 全国,data/bidding/t_model_aa,3621
中标公告,锡林郭勒电力建设有限责任公司,全国,大唐华银欣正风电出线间隔设备通信设备维护结果公告,通信 设备 维护 风电 公司 全国,data/bidding/t_model_aa,3626
中标公告,上海奇高阀门制造有限公司,全国,大唐宝鸡热电厂阀门管件询价公告,阀门 管件 热电厂 全国,data/bidding/t_model_aa,3627
中标公告,山西益安达工贸有限公司,全国,大唐太原第二热电厂反反渗透清洗剂单一来源采购结果公告,反渗透 清洗剂 热电厂 全国,data/bidding/t_model_aa,3630
中标公告,长沙开元仪器股份有限公司,全国,大唐贵州发耳发电有限公司煤质化验仪器配件采购结果公告,化验 仪器 配件 有限公司 全国,data/bidding/t_model_aa,3631
中标公告,济南嘉禾永册电力器材有限公司,全国,大唐平度风力发电有限公司物资断路器等采购计划单询价结果公告,物资 断路器 有限公司 全国,data/bidding/t_model_aa,3632
中标公告,蕉岭源源电力实业有限公司,全国,年五华供电局警卫安保服务管理项目结果公示,安保 服务 管理 公司 全国,data/bidding/t_model_aa,3640
中标公告,大连北方互感器集团有限公司,全国,翠峰变电站数字化变电站老旧保护改造,变电站 数字化 电流 互感器 公司 全国,data/bidding/t_model_aa,3647
中标公告,梅州市创润物业管理有限公司,全国,年大埔供电局警卫安保服务管理项目结果公示,安保 服务 管理 公司 全国,data/bidding/t_model_aa,3648
中标公告,正定县燕赵建设集团有限公司,河北省,环城公园周汉河南侧滨河观光路工程三标段,环城 园滨 建设局 河北省,data/bidding/t_model_aa,3667
中标公告,保定昌顺道路绿化工程有限公司,河北省,南二环东延西延绿化,绿化 工程 园林局 河北省,data/bidding/t_model_aa,3668
中标公告,石家庄市建通建设工程有限公司,河北省,环城公园周汉河南侧滨河观光路工程四标段,环城 园滨 建设局 河北省,data/bidding/t_model_aa,3669
中标公告,石家庄建设集团有限公司,河北省,廊坊开发区出口加工区办公楼装修改造工程施工,办公楼 开发区 建设 有限公司 河北省,data/bidding/t_model_aa,3670
中标公告,陕西森发园林生态产业集团有限公司,河北省,南二环东延西延绿化,绿化 工程 园林局 河北省,data/bidding/t_model_aa,3671
招标公告,秦皇岛北戴河新区金潮建设投资有限公司,河北省,健康城生物产业孵化器项目二期工程,孵化器 工程 有限公司 河北省,data/bidding/t_model_aa,3672
中标公告,江西中金建设集团有限公司,湖北省,大屋肖河改造工程中标候选人公示,改造 工程 有限公司 湖北省,data/bidding/t_model_aa,3675
招标公告,黄南州公安局,青海省,黄南州公安民警体能训练基地建设项目二次,公安民警 附属 设施 公安局 青海省,data/bidding/t_model_aa,3676
招标公告,锡林郭勒电业局物资供应公司,全国,锡林郭勒电业局,工程 勘察 施工图 设计 公司 全国,data/bidding/t_model_aa,3679
中标公告,北京法意科技有限公司,广西壮族自治区,广西鑫顺项目管理有限责任公司警务管理中心系统开发服务采购,读写 基站 人民法院 广西壮族自治区,data/bidding/t_model_aa,3680
招标公告,仪征市真州投资发展有限公司,江苏省,真州镇三八村农民集中安置小区二期工程,砖混 绿化 有限公司 江苏省,data/bidding/t_model_aa,3681
中标公告,候选人临沂一鸣装饰有限公司,山东省,临沂第四中学楼顶防水改造工程补充公告,改造 工程 中学 山东省,data/bidding/t_model_aa,3686
招标公告,承德市双桥区人民法院,河北省,双桥区人民法院审判法庭勘察招标,提疑 岩土 工程 人民法院 河北省,data/bidding/t_model_aa,3687
中标公告,河北舜石建设工程有限公司,河北省,水岸雅居棚改项目建设工程,棚改 建设工程 房地产 开发 有限公司 河北省,data/bidding/t_model_aa,3688
中标公告,安徽省交通规划设计研究总院股份有限公司,全国,亳州市三清大道原东绕城快速路勘察设计项目中标公示,快速路 勘察 设计 管理局 全国,data/bidding/t_model_aa,3690
中标公告,广西友鸿建筑工程有限公司,广西壮族自治区,广西城建咨询有限公司关于柳江区进德镇卫生院消防安装工程,卫生院 消防 安装 卫生院 广西壮族自治区,data/bidding/t_model_aa,3693
中标公告,任丘市升华通讯器材有限公司,全国,中国移动天津公司,辅件 pvc 管类 集 有限公司 全国,data/bidding/t_model_aa,3707
中标公告,衡水天翔通讯设备有限公司,全国,中国移动黑龙江公司,铁塔 设备 采购 有限公司 全国,data/bidding/t_model_aa,3708
中标公告,深圳市光波通信有限公司,全国,国电信贵州公司,铠装 光缆 跳线 分公司 全国,data/bidding/t_model_aa,3710
中标公告,综合排名第二的太原华力德消防汽车器材有限公司,全国,年忻州联通消防器材检测充装更换服务维保招标项目中标候选人公示,联通 消防器材 维保 分公司 全国,data/bidding/t_model_aa,3711
招标公告,绍兴文理学院,浙江省,附属医院零散标识标牌制作安装维修服务项目招标公告,标识 标牌 制作 安装 维修服务 文理学院 浙江省,data/bidding/t_model_aa,3722
招标公告,重庆空港新城建设开发有限公司,重庆市,重庆空港新城建设开发有限公司安保服务采购,安保 服务 有限公司 重庆市,data/bidding/t_model_aa,3725
